member_no,date,amount,source,reference,description
ILS24-F00007,2024-03-07,170000,mkoba,SHR-ILS24-F00007-0001,Historical share capital (Ilboru DETAILS)
ILS24-F00007,2024-08-21,550000,mkoba,SHR-ILS24-F00007-0002,Historical share capital (Ilboru DETAILS)
ILS24-F00007,2024-12-22,200000,mkoba,SHR-ILS24-F00007-0003,Historical share capital (Ilboru DETAILS)
ILS24-F00007,2025-03-11,300000,nmb,SHR-ILS24-F00007-0004,Historical share capital (Ilboru DETAILS)
ILS24-F00013,2024-03-31,50000,mkoba,SHR-ILS24-F00013-0001,Historical share capital (Ilboru DETAILS)
ILS24-F00013,2024-12-26,400000,mkoba,SHR-ILS24-F00013-0002,Historical share capital (Ilboru DETAILS)
ILS24-F00013,2024-12-30,450000,mkoba,SHR-ILS24-F00013-0003,Historical share capital (Ilboru DETAILS)
ILS24-F00013,2024-12-31,50000,mkoba,SHR-ILS24-F00013-0004,Historical share capital (Ilboru DETAILS)
ILS24-F00041,2024-03-08,130000,mkoba,SHR-ILS24-F00041-0001,Historical share capital (Ilboru DETAILS)
ILS24-F00041,2024-04-01,120000,mkoba,SHR-ILS24-F00041-0002,Historical share capital (Ilboru DETAILS)
ILS24-F00049,2024-03-08,50000,mkoba,SHR-ILS24-F00049-0001,Historical share capital (Ilboru DETAILS)
ILS24-F00049,2024-03-09,90000,mkoba,SHR-ILS24-F00049-0002,Historical share capital (Ilboru DETAILS)
ILS24-F00049,2024-03-29,150000,mkoba,SHR-ILS24-F00049-0003,Historical share capital (Ilboru DETAILS)
ILS24-F00045,2024-03-09,290000,mkoba,SHR-ILS24-F00045-0001,Historical share capital (Ilboru DETAILS)
ILS24-F00045,2024-08-19,340000,mkoba,SHR-ILS24-F00045-0002,Historical share capital (Ilboru DETAILS)
ILS24-F00016,2024-03-09,90000,mkoba,SHR-ILS24-F00016-0001,Historical share capital (Ilboru DETAILS)
ILS24-F00016,2024-08-22,650000,mkoba,SHR-ILS24-F00016-0002,Historical share capital (Ilboru DETAILS)
ILS24-F00054,2024-03-09,120000,mkoba,SHR-ILS24-F00054-0001,Historical share capital (Ilboru DETAILS)
ILS24-F00034,2024-03-09,90000,mkoba,SHR-ILS24-F00034-0001,Historical share capital (Ilboru DETAILS)
ILS24-F00034,2024-08-26,600000,mkoba,SHR-ILS24-F00034-0002,Historical share capital (Ilboru DETAILS)
ILS24-F00034,2024-08-26,200000,mkoba,SHR-ILS24-F00034-0003,Historical share capital (Ilboru DETAILS)
ILS24-F00034,2024-12-31,50000,mkoba,SHR-ILS24-F00034-0004,Historical share capital (Ilboru DETAILS)
ILS24-F00044,2024-03-10,280000,mkoba,SHR-ILS24-F00044-0001,Historical share capital (Ilboru DETAILS)
ILS24-F00044,2024-03-10,280000,mkoba,SHR-ILS24-F00044-0002,Historical share capital (Ilboru DETAILS)
ILS24-F00021,2024-03-10,250000,mkoba,SHR-ILS24-F00021-0001,Historical share capital (Ilboru DETAILS)
ILS24-F00021,2024-12-11,450000,mkoba,SHR-ILS24-F00021-0002,Historical share capital (Ilboru DETAILS)
ILS24-F00021,2024-12-24,200000,mkoba,SHR-ILS24-F00021-0003,Historical share capital (Ilboru DETAILS)
ILS24-F00036,2024-03-10,50000,mkoba,SHR-ILS24-F00036-0001,Historical share capital (Ilboru DETAILS)
ILS24-F00036,2025-01-12,1000000,mkoba,SHR-ILS24-F00036-0002,Historical share capital (Ilboru DETAILS)
ILS24-F00024,2024-03-12,130000,mkoba,SHR-ILS24-F00024-0001,Historical share capital (Ilboru DETAILS)
ILS24-F00024,2024-08-20,220000,mkoba,SHR-ILS24-F00024-0002,Historical share capital (Ilboru DETAILS)
ILS24-F00024,2024-08-26,280000,mkoba,SHR-ILS24-F00024-0003,Historical share capital (Ilboru DETAILS)
ILS24-F00024,2025-01-02,200000,mkoba,SHR-ILS24-F00024-0004,Historical share capital (Ilboru DETAILS)
ILS24-F00035,2024-03-31,100000,mkoba,SHR-ILS24-F00035-0001,Historical share capital (Ilboru DETAILS)
ILS24-F00035,2024-07-14,100000,mkoba,SHR-ILS24-F00035-0002,Historical share capital (Ilboru DETAILS)
ILS24-F00035,2024-12-26,200000,mkoba,SHR-ILS24-F00035-0003,Historical share capital (Ilboru DETAILS)
ILS24-F00035,2024-12-30,550000,mkoba,SHR-ILS24-F00035-0004,Historical share capital (Ilboru DETAILS)
ILS24-F00009,2024-03-18,90000,mkoba,SHR-ILS24-F00009-0001,Historical share capital (Ilboru DETAILS)
ILS24-F00009,2025-01-26,200000,mkoba,SHR-ILS24-F00009-0002,Historical share capital (Ilboru DETAILS)
ILS24-F00023,2024-03-18,220000,mkoba,SHR-ILS24-F00023-0001,Historical share capital (Ilboru DETAILS)
ILS24-F00023,2024-08-20,550000,mkoba,SHR-ILS24-F00023-0002,Historical share capital (Ilboru DETAILS)
