member_no,date,amount,source,reference,description
ILS24-F00001,2026-04-01,1500000,nmb,SAV-ILS24-F00001-0028,Historical savings deposit (Ilboru workbook)
ILS24-F00001,2026-04-30,3000000,nmb,SAV-ILS24-F00001-0029,Historical savings deposit (Ilboru workbook)
ILS24-F00001,2026-04-30,326589,nmb,SAV-ILS24-F00001-0030,Historical savings deposit (Ilboru workbook)
ILS24-F00001,2026-05-22,500000,nmb,SAV-ILS24-F00001-0031,Historical savings deposit (Ilboru workbook)
ILS24-F00001,2026-05-27,355488,nmb,SAV-ILS24-F00001-0032,Historical savings deposit (Ilboru workbook)
ILS24-F00001,2026-05-28,2000000,nmb,SAV-ILS24-F00001-0033,Historical savings deposit (Ilboru workbook)
ILS24-F00002,2024-03-19,760000,mkoba,SAV-ILS24-F00002-0001,Historical savings deposit (Ilboru workbook)
ILS24-F00002,2024-08-19,40000,mkoba,SAV-ILS24-F00002-0002,Historical savings deposit (Ilboru workbook)
ILS24-F00002,2025-08-15,1000000,nmb,SAV-ILS24-F00002-0003,Historical savings deposit (Ilboru workbook)
ILS24-F00002,2025-08-16,500000,utt,SAV-ILS24-F00002-0004,Historical savings deposit (Ilboru workbook)
ILS24-F00002,2025-09-05,400000,nmb,SAV-ILS24-F00002-0005,Historical savings deposit (Ilboru workbook)
ILS24-F00002,2025-09-11,500000,nmb,SAV-ILS24-F00002-0006,Historical savings deposit (Ilboru workbook)
ILS24-F00002,2025-09-15,300000,nmb,SAV-ILS24-F00002-0007,Historical savings deposit (Ilboru workbook)
ILS24-F00002,2025-10-04,1000000,nmb,SAV-ILS24-F00002-0008,Historical savings deposit (Ilboru workbook)
ILS24-F00002,2025-10-04,500000,nmb,SAV-ILS24-F00002-0009,Historical savings deposit (Ilboru workbook)
ILS24-F00002,2025-10-04,1000000,nmb,SAV-ILS24-F00002-0010,Historical savings deposit (Ilboru workbook)
ILS24-F00002,2025-11-19,1500000,nmb,SAV-ILS24-F00002-0011,Historical savings deposit (Ilboru workbook)
ILS24-F00002,2025-11-19,100000,nmb,SAV-ILS24-F00002-0012,Historical savings deposit (Ilboru workbook)
ILS24-F00002,2025-12-23,1000000,nmb,SAV-ILS24-F00002-0013,Historical savings deposit (Ilboru workbook)
ILS24-F00002,2026-01-30,200000,nmb,SAV-ILS24-F00002-0014,Historical savings deposit (Ilboru workbook)
ILS24-F00002,2026-03-03,2500000,nmb,SAV-ILS24-F00002-0015,Historical savings deposit (Ilboru workbook)
ILS24-F00002,2026-03-03,3000000,nmb,SAV-ILS24-F00002-0016,Historical savings deposit (Ilboru workbook)
ILS24-F00002,2026-03-03,1500000,nmb,SAV-ILS24-F00002-0017,Historical savings deposit (Ilboru workbook)
ILS24-F00002,2026-03-03,1500000,nmb,SAV-ILS24-F00002-0018,Historical savings deposit (Ilboru workbook)
ILS24-F00002,2026-03-03,1000000,nmb,SAV-ILS24-F00002-0019,Historical savings deposit (Ilboru workbook)
ILS24-F00002,2026-03-03,1160000,nmb,SAV-ILS24-F00002-0020,Historical savings deposit (Ilboru workbook)
ILS24-F00002,2026-03-03,500000,nmb,SAV-ILS24-F00002-0021,Historical savings deposit (Ilboru workbook)
ILS24-F00002,2026-03-03,1000000,nmb,SAV-ILS24-F00002-0022,Historical savings deposit (Ilboru workbook)
ILS24-F00002,2026-03-03,1000000,nmb,SAV-ILS24-F00002-0023,Historical savings deposit (Ilboru workbook)
ILS24-F00003,2024-02-29,170000,mkoba,SAV-ILS24-F00003-0001,Historical savings deposit (Ilboru workbook)
ILS24-F00003,2024-02-29,30000,mkoba,SAV-ILS24-F00003-0002,Historical savings deposit (Ilboru workbook)
ILS24-F00003,2024-03-02,360000,mkoba,SAV-ILS24-F00003-0003,Historical savings deposit (Ilboru workbook)
ILS24-F00003,2024-03-03,140000,mkoba,SAV-ILS24-F00003-0004,Historical savings deposit (Ilboru workbook)
ILS24-F00003,2024-07-19,100000,mkoba,SAV-ILS24-F00003-0005,Historical savings deposit (Ilboru workbook)
ILS24-F00003,2024-12-22,200000,mkoba,SAV-ILS24-F00003-0006,Historical savings deposit (Ilboru workbook)
ILS24-F00003,2025-03-11,100000,nmb,SAV-ILS24-F00003-0007,Historical savings deposit (Ilboru workbook)
ILS24-F00003,2025-03-12,100000,nmb,SAV-ILS24-F00003-0008,Historical savings deposit (Ilboru workbook)
ILS24-F00003,2025-08-15,700000,nmb,SAV-ILS24-F00003-0009,Historical savings deposit (Ilboru workbook)
ILS24-F00003,2025-10-07,300000,nmb,SAV-ILS24-F00003-0010,Historical savings deposit (Ilboru workbook)
ILS24-F00003,2025-10-07,300000,nmb,SAV-ILS24-F00003-0011,Historical savings deposit (Ilboru workbook)
ILS24-F00003,2025-11-05,100000,nmb,SAV-ILS24-F00003-0012,Historical savings deposit (Ilboru workbook)
ILS24-F00003,2025-11-05,1000000,nmb,SAV-ILS24-F00003-0013,Historical savings deposit (Ilboru workbook)
ILS24-F00003,2025-11-05,1000000,nmb,SAV-ILS24-F00003-0014,Historical savings deposit (Ilboru workbook)
ILS24-F00003,2025-11-05,600000,nmb,SAV-ILS24-F00003-0015,Historical savings deposit (Ilboru workbook)
ILS24-F00003,2025-12-07,1200000,nmb,SAV-ILS24-F00003-0016,Historical savings deposit (Ilboru workbook)
ILS24-F00003,2025-12-07,100000,nmb,SAV-ILS24-F00003-0017,Historical savings deposit (Ilboru workbook)
ILS24-F00003,2025-12-07,1300000,nmb,SAV-ILS24-F00003-0018,Historical savings deposit (Ilboru workbook)
ILS24-F00003,2025-12-07,500000,nmb,SAV-ILS24-F00003-0019,Historical savings deposit (Ilboru workbook)
ILS24-F00003,2026-01-04,500000,nmb,SAV-ILS24-F00003-0020,Historical savings deposit (Ilboru workbook)
ILS24-F00003,2026-01-04,1000000,nmb,SAV-ILS24-F00003-0021,Historical savings deposit (Ilboru workbook)
ILS24-F00003,2026-01-04,100000,nmb,SAV-ILS24-F00003-0022,Historical savings deposit (Ilboru workbook)
ILS24-F00003,2026-02-24,500000,nmb,SAV-ILS24-F00003-0023,Historical savings deposit (Ilboru workbook)
ILS24-F00003,2026-02-24,1000000,nmb,SAV-ILS24-F00003-0024,Historical savings deposit (Ilboru workbook)
ILS24-F00003,2026-03-02,1300000,nmb,SAV-ILS24-F00003-0025,Historical savings deposit (Ilboru workbook)
ILS24-F00003,2026-03-02,2000000,nmb,SAV-ILS24-F00003-0026,Historical savings deposit (Ilboru workbook)
ILS24-F00003,2026-03-02,125000,nmb,SAV-ILS24-F00003-0027,Historical savings deposit (Ilboru workbook)
ILS24-F00003,2026-03-02,750000,nmb,SAV-ILS24-F00003-0028,Historical savings deposit (Ilboru workbook)
ILS24-F00003,2026-03-02,2200000,nmb,SAV-ILS24-F00003-0029,Historical savings deposit (Ilboru workbook)
ILS24-F00003,2026-03-02,1120000,nmb,SAV-ILS24-F00003-0030,Historical savings deposit (Ilboru workbook)
ILS24-F00003,2026-03-02,900000,nmb,SAV-ILS24-F00003-0031,Historical savings deposit (Ilboru workbook)
ILS24-F00003,2026-03-02,500000,nmb,SAV-ILS24-F00003-0032,Historical savings deposit (Ilboru workbook)
ILS24-F00003,2026-03-02,100000,nmb,SAV-ILS24-F00003-0033,Historical savings deposit (Ilboru workbook)
ILS24-F00003,2026-03-24,1500000,nmb,SAV-ILS24-F00003-0034,Historical savings deposit (Ilboru workbook)
ILS24-F00003,2026-03-28,400000,nmb,SAV-ILS24-F00003-0035,Historical savings deposit (Ilboru workbook)
ILS24-F00003,2026-03-28,60000,nmb,SAV-ILS24-F00003-0036,Historical savings deposit (Ilboru workbook)
ILS24-F00003,2026-03-28,300000,nmb,SAV-ILS24-F00003-0037,Historical savings deposit (Ilboru workbook)
ILS24-F00003,2026-04-01,3700000,nmb,SAV-ILS24-F00003-0038,Historical savings deposit (Ilboru workbook)
ILS24-F00003,2026-04-01,1000000,nmb,SAV-ILS24-F00003-0039,Historical savings deposit (Ilboru workbook)
ILS24-F00003,2026-04-01,2000000,nmb,SAV-ILS24-F00003-0040,Historical savings deposit (Ilboru workbook)
ILS24-F00003,2026-04-09,150000,nmb,SAV-ILS24-F00003-0041,Historical savings deposit (Ilboru workbook)
ILS24-F00003,2026-04-09,320000,nmb,SAV-ILS24-F00003-0042,Historical savings deposit (Ilboru workbook)
ILS24-F00003,2026-04-11,524210,nmb,SAV-ILS24-F00003-0043,Historical savings deposit (Ilboru workbook)
ILS24-F00003,2026-04-01,900000,nmb,SAV-ILS24-F00003-0044,Historical savings deposit (Ilboru workbook)
ILS24-F00003,2026-04-25,1000000,nmb,SAV-ILS24-F00003-0045,Historical savings deposit (Ilboru workbook)
ILS24-F00003,2026-04-25,1000000,nmb,SAV-ILS24-F00003-0046,Historical savings deposit (Ilboru workbook)
ILS24-F00003,2026-04-25,1000000,nmb,SAV-ILS24-F00003-0047,Historical savings deposit (Ilboru workbook)
ILS24-F00003,2026-04-30,5000000,nmb,SAV-ILS24-F00003-0048,Historical savings deposit (Ilboru workbook)
ILS24-F00003,2026-05-01,500000,nmb,SAV-ILS24-F00003-0049,Historical savings deposit (Ilboru workbook)
ILS24-F00003,2026-05-01,85927,nmb,SAV-ILS24-F00003-0050,Historical savings deposit (Ilboru workbook)
ILS24-F00003,2026-05-09,4000000,nmb,SAV-ILS24-F00003-0051,Historical savings deposit (Ilboru workbook)
ILS24-F00003,2026-05-11,500000,nmb,SAV-ILS24-F00003-0052,Historical savings deposit (Ilboru workbook)
ILS24-F00003,2026-05-15,1000000,nmb,SAV-ILS24-F00003-0053,Historical savings deposit (Ilboru workbook)
ILS24-F00003,2026-05-16,3500000,nmb,SAV-ILS24-F00003-0054,Historical savings deposit (Ilboru workbook)
ILS24-F00004,2024-03-01,100000,mkoba,SAV-ILS24-F00004-0001,Historical savings deposit (Ilboru workbook)
ILS24-F00004,2024-03-02,80000,mkoba,SAV-ILS24-F00004-0002,Historical savings deposit (Ilboru workbook)
ILS24-F00004,2024-08-25,100000,mkoba,SAV-ILS24-F00004-0003,Historical savings deposit (Ilboru workbook)
ILS24-F00004,2024-08-26,100000,mkoba,SAV-ILS24-F00004-0004,Historical savings deposit (Ilboru workbook)
ILS24-F00004,2024-12-31,450000,mkoba,SAV-ILS24-F00004-0005,Historical savings deposit (Ilboru workbook)
ILS24-F00004,2024-12-31,170000,mkoba,SAV-ILS24-F00004-0006,Historical savings deposit (Ilboru workbook)
ILS24-F00004,2025-10-21,200000,nmb,SAV-ILS24-F00004-0007,Historical savings deposit (Ilboru workbook)
ILS24-F00004,2026-01-27,450000,nmb,SAV-ILS24-F00004-0008,Historical savings deposit (Ilboru workbook)
ILS24-F00004,2026-01-27,700000,nmb,SAV-ILS24-F00004-0009,Historical savings deposit (Ilboru workbook)
ILS24-F00004,2026-01-27,200000,nmb,SAV-ILS24-F00004-0010,Historical savings deposit (Ilboru workbook)
ILS24-F00004,2026-01-27,250000,nmb,SAV-ILS24-F00004-0011,Historical savings deposit (Ilboru workbook)
ILS24-F00004,2026-02-06,100000,nmb,SAV-ILS24-F00004-0012,Historical savings deposit (Ilboru workbook)
ILS24-F00004,2026-02-06,150000,nmb,SAV-ILS24-F00004-0013,Historical savings deposit (Ilboru workbook)
ILS24-F00004,2026-03-01,200000,nmb,SAV-ILS24-F00004-0014,Historical savings deposit (Ilboru workbook)
ILS24-F00004,2026-03-01,150000,nmb,SAV-ILS24-F00004-0015,Historical savings deposit (Ilboru workbook)
ILS24-F00004,2026-03-01,150000,nmb,SAV-ILS24-F00004-0016,Historical savings deposit (Ilboru workbook)
ILS24-F00004,2026-03-01,100000,nmb,SAV-ILS24-F00004-0017,Historical savings deposit (Ilboru workbook)
ILS24-F00004,2026-03-01,160000,nmb,SAV-ILS24-F00004-0018,Historical savings deposit (Ilboru workbook)
ILS24-F00004,2026-04-21,150000,nmb,SAV-ILS24-F00004-0019,Historical savings deposit (Ilboru workbook)
ILS24-F00004,2026-05-22,500000,nmb,SAV-ILS24-F00004-0020,Historical savings deposit (Ilboru workbook)
ILS24-F00004,2026-05-29,300000,nmb,SAV-ILS24-F00004-0021,Historical savings deposit (Ilboru workbook)
ILS24-F00005,2024-03-03,220000,mkoba,SAV-ILS24-F00005-0001,Historical savings deposit (Ilboru workbook)
ILS24-F00005,2024-08-17,900000,mkoba,SAV-ILS24-F00005-0002,Historical savings deposit (Ilboru workbook)
ILS24-F00005,2024-12-24,100000,mkoba,SAV-ILS24-F00005-0003,Historical savings deposit (Ilboru workbook)
ILS24-F00005,2025-05-18,180000,mkoba,SAV-ILS24-F00005-0004,Historical savings deposit (Ilboru workbook)
ILS24-F00005,2025-06-13,200000,mkoba,SAV-ILS24-F00005-0005,Historical savings deposit (Ilboru workbook)
ILS24-F00005,2025-08-15,200000,nmb,SAV-ILS24-F00005-0006,Historical savings deposit (Ilboru workbook)
ILS24-F00005,2025-09-10,100000,nmb,SAV-ILS24-F00005-0007,Historical savings deposit (Ilboru workbook)
ILS24-F00005,2025-09-30,100000,nmb,SAV-ILS24-F00005-0008,Historical savings deposit (Ilboru workbook)
ILS24-F00005,2025-10-06,400000,nmb,SAV-ILS24-F00005-0009,Historical savings deposit (Ilboru workbook)
ILS24-F00005,2025-10-06,200000,nmb,SAV-ILS24-F00005-0010,Historical savings deposit (Ilboru workbook)
ILS24-F00005,2025-10-06,400000,nmb,SAV-ILS24-F00005-0011,Historical savings deposit (Ilboru workbook)
ILS24-F00005,2026-01-31,1000000,nmb,SAV-ILS24-F00005-0012,Historical savings deposit (Ilboru workbook)
ILS24-F00005,2026-02-19,1000000,nmb,SAV-ILS24-F00005-0013,Historical savings deposit (Ilboru workbook)
ILS24-F00005,2026-02-19,1000000,nmb,SAV-ILS24-F00005-0014,Historical savings deposit (Ilboru workbook)
ILS24-F00005,2026-02-19,1000000,nmb,SAV-ILS24-F00005-0015,Historical savings deposit (Ilboru workbook)
ILS24-F00005,2026-03-17,1000000,nmb,SAV-ILS24-F00005-0016,Historical savings deposit (Ilboru workbook)
ILS24-F00005,2026-03-17,1000000,nmb,SAV-ILS24-F00005-0017,Historical savings deposit (Ilboru workbook)
ILS24-F00005,2026-03-17,1000000,nmb,SAV-ILS24-F00005-0018,Historical savings deposit (Ilboru workbook)
ILS24-F00005,2026-04-28,100000,nmb,SAV-ILS24-F00005-0019,Historical savings deposit (Ilboru workbook)
