member_no,date,amount,source,reference,description
ILS24-F00011,2026-02-28,197351,loan,DIV-ILS24-F00011-05,DIVIDENT 5 (Loan 2+3)
ILS24-F00011,2026-04-15,84666,utt,DIV-ILS24-F00011-06,DIVIDENT 6 UTT (15 Apr 26)
ILS24-F00011,2026-04-26,17972,loan,DIV-ILS24-F00011-07,LOAN 6+7 Apr 26 (250+500k)
ILS24-F00011,2026-05-05,46235,utt,DIV-ILS24-F00011-08,DIV. 7 UTT 5th May 26
ILS24-F00012,2024-12-31,28245,utt,DIV-ILS24-F00012-01,DIVIDENT 1 UTT (Year 1)
ILS24-F00012,2025-11-25,36015,utt,DIV-ILS24-F00012-02,DIVIDENT 2 UTT (Nov. 25)
ILS24-F00012,2025-12-15,54929,loan,DIV-ILS24-F00012-03,DIVIDENT 3 (Loan 1)
ILS24-F00012,2026-01-24,67563,utt,DIV-ILS24-F00012-04,DIVIDENT 4 UTT (Jan 24)
ILS24-F00012,2026-02-28,202021,loan,DIV-ILS24-F00012-05,DIVIDENT 5 (Loan 2+3)
ILS24-F00012,2026-04-15,103086,utt,DIV-ILS24-F00012-06,DIVIDENT 6 UTT (15 Apr 26)
ILS24-F00012,2026-04-26,22419,loan,DIV-ILS24-F00012-07,LOAN 6+7 Apr 26 (250+500k)
ILS24-F00012,2026-05-05,57675,utt,DIV-ILS24-F00012-08,DIV. 7 UTT 5th May 26
ILS24-F00013,2024-12-31,22299,utt,DIV-ILS24-F00013-01,DIVIDENT 1 UTT (Year 1)
ILS24-F00013,2025-11-25,32741,utt,DIV-ILS24-F00013-02,DIVIDENT 2 UTT (Nov. 25)
ILS24-F00013,2025-12-15,49936,loan,DIV-ILS24-F00013-03,DIVIDENT 3 (Loan 1)
ILS24-F00013,2026-01-24,38405,utt,DIV-ILS24-F00013-04,DIVIDENT 4 UTT (Jan 24)
ILS24-F00013,2026-02-28,95069,loan,DIV-ILS24-F00013-05,DIVIDENT 5 (Loan 2+3)
ILS24-F00013,2026-04-15,36916,utt,DIV-ILS24-F00013-06,DIVIDENT 6 UTT (15 Apr 26)
ILS24-F00013,2026-04-26,8962,loan,DIV-ILS24-F00013-07,LOAN 6+7 Apr 26 (250+500k)
ILS24-F00013,2026-05-05,23057,utt,DIV-ILS24-F00013-08,DIV. 7 UTT 5th May 26
ILS24-F00014,2024-12-31,29732,utt,DIV-ILS24-F00014-01,DIVIDENT 1 UTT (Year 1)
ILS24-F00014,2025-11-25,45837,utt,DIV-ILS24-F00014-02,DIVIDENT 2 UTT (Nov. 25)
ILS24-F00014,2025-12-15,69910,loan,DIV-ILS24-F00014-03,DIVIDENT 3 (Loan 1)
ILS24-F00014,2026-01-24,49784,utt,DIV-ILS24-F00014-04,DIVIDENT 4 UTT (Jan 24)
ILS24-F00014,2026-02-28,118836,loan,DIV-ILS24-F00014-05,DIVIDENT 5 (Loan 2+3)
ILS24-F00014,2026-04-15,35216,utt,DIV-ILS24-F00014-06,DIVIDENT 6 UTT (15 Apr 26)
ILS24-F00014,2026-04-26,5602,loan,DIV-ILS24-F00014-07,LOAN 6+7 Apr 26 (250+500k)
ILS24-F00014,2026-05-05,14411,utt,DIV-ILS24-F00014-08,DIV. 7 UTT 5th May 26
ILS24-F00015,2024-12-31,23785,utt,DIV-ILS24-F00015-01,DIVIDENT 1 UTT (Year 1)
ILS24-F00015,2025-11-25,28812,utt,DIV-ILS24-F00015-02,DIVIDENT 2 UTT (Nov. 25)
ILS24-F00015,2025-12-15,43943,loan,DIV-ILS24-F00015-03,DIVIDENT 3 (Loan 1)
ILS24-F00015,2026-01-24,42672,utt,DIV-ILS24-F00015-04,DIVIDENT 4 UTT (Jan 24)
ILS24-F00015,2026-02-28,118836,loan,DIV-ILS24-F00015-05,DIVIDENT 5 (Loan 2+3)
ILS24-F00015,2026-04-15,40074,utt,DIV-ILS24-F00015-06,DIVIDENT 6 UTT (15 Apr 26)
ILS24-F00015,2026-04-26,6374,loan,DIV-ILS24-F00015-07,LOAN 6+7 Apr 26 (250+500k)
ILS24-F00015,2026-05-05,16398,utt,DIV-ILS24-F00015-08,DIV. 7 UTT 5th May 26
ILS24-F00016,2024-12-31,14866,utt,DIV-ILS24-F00016-01,DIVIDENT 1 UTT (Year 1)
ILS24-F00016,2025-11-25,34050,utt,DIV-ILS24-F00016-02,DIVIDENT 2 UTT (Nov. 25)
ILS24-F00016,2025-12-15,51933,loan,DIV-ILS24-F00016-03,DIVIDENT 3 (Loan 1)
ILS24-F00016,2026-01-24,56896,utt,DIV-ILS24-F00016-04,DIVIDENT 4 UTT (Jan 24)
ILS24-F00016,2026-02-28,135812,loan,DIV-ILS24-F00016-05,DIVIDENT 5 (Loan 2+3)
ILS24-F00016,2026-04-15,38859,utt,DIV-ILS24-F00016-06,DIVIDENT 6 UTT (15 Apr 26)
ILS24-F00016,2026-04-26,44812,loan,DIV-ILS24-F00016-07,LOAN 6+7 Apr 26 (250+500k)
